,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2011,43.2220189082,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1,2012,69.1,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
2,2013,68.9829406738,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
3,2014,89.5,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
4,2015,71.5,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
5,2016,97.7,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
6,2017,97.7,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
7,2018,98.7156219482,EG.ELC.ACCS.ZS,AFG,Afghanistan,South Asia,Low income,IDA
8,2011,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
9,2012,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
10,2013,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
11,2014,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
12,2015,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
13,2016,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
14,2017,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
15,2018,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
16,2011,70.8800811768,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
17,2012,70.9809417725,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
18,2013,71.1059188843,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
19,2014,71.2509841919,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
20,2015,71.4121246338,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
21,2016,71.585319519,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
22,2017,70.79,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
23,2018,72.634979248,EG.ELC.ACCS.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
24,2011,87.76,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
25,2012,87.0,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
26,2013,90.2,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
27,2014,92.6377029419,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
28,2015,94.3347702026,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
29,2016,97.5,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
30,2017,97.5,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
31,2018,99.5868606567,EG.ELC.ACCS.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
32,2011,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
33,2012,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
34,2013,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
35,2014,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
36,2015,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
37,2016,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
38,2017,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
39,2018,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
40,2011,86.5677791512,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
41,2012,95.0,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
42,2013,92.7733535767,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
43,2014,98.7,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
44,2015,92.5,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
45,2016,99.5,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
46,2017,99.5,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
47,2018,99.9021453857,EG.ELC.ACCS.UR.ZS,AFG,Afghanistan,South Asia,Low income,IDA
48,2011,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
49,2012,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
50,2013,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
51,2014,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
52,2015,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
53,2016,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
54,2017,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
55,2018,100.0,EG.ELC.ACCS.UR.ZS,CAN,Canada,North America,High income,Not classified
56,2011,97.4868545532,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
57,2012,97.8667831421,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
58,2013,98.2420043945,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
59,2014,98.6132888794,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
60,2015,98.9814376831,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
61,2016,99.3472290039,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
62,2017,99.7114486694,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
63,2018,99.8870697021,EG.ELC.ACCS.UR.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
64,2011,96.83,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
65,2012,97.71,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
66,2013,98.0,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
67,2014,98.913482666,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
68,2015,99.6724395752,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
69,2016,99.0,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
70,2017,99.9795227051,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
71,2018,100.0,EG.ELC.ACCS.UR.ZS,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
72,2011,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
73,2012,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
74,2013,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
75,2014,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
76,2015,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
77,2016,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
78,2017,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
79,2018,100.0,EG.ELC.ACCS.UR.ZS,USA,United States,North America,High income,Not classified
80,2011,29.5728807665,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
81,2012,60.8491567563,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
82,2013,61.3157881912,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
83,2014,86.5005119066,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
84,2015,64.5733539385,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
85,2016,97.0993597954,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
86,2017,97.0919732441,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
87,2018,98.3096033475,EG.ELC.ACCS.RU.ZS,AFG,Afghanistan,South Asia,Low income,IDA
88,2011,100.0,EG.ELC.ACCS.RU.ZS,CAN,Canada,North America,High income,Not classified
